xy4-117;AZ
xy4-91;AZ
pl2-88;Aaron's Collection
dp2-19;Abomasnow
swsh10tg-TG01;Abomasnow
swsh2-13;Abomasnow
swsh11-43;Abomasnow
sm6-4;Abomasnow
xy8-40;Abomasnow
swsh6-10;Abomasnow
sm5-38;Abomasnow
dp7-12;Abomasnow
sm11-42;Abomasnow
bw10-26;Abomasnow
base6-67;Abra
ecard1-93;Abra
base4-65;Abra
base5-49;Abra
base1-43;Abra
ecard3-46;Abra
dp2-69;Abra
swsh8-164;Absol
hgss4-91;Absol
ex3-1;Absol
dp3-21;Absol
xyp-XY178;Absol
swsh10-97;Absol
sm12-133;Absol
sm2-81;Absol
ex12-15;Absol
xy6-40;Absol
sm9-88;Absol
ex4-96;Absol
ex13-18;Absol
bw9-67;Absol
swsh35-38;Absol
pl3-1;Absol G
pl3-141;Absol G LV.X
ex16-92;Absol ex
xyp-XY62;Absol-EX
swsh3-10;Accelgor
bw3-12;Accelgor
bw5-11;Accelgor
bw10-8;Accelgor
swsh8-14;Accelgor
xy3-9;Accelgor
sm4-9;Accelgor
xy7-69;Ace Trainer
sm3-142;Acerola
sm3-112;Acerola
sm3-112a;Acerola
swsh9-129;Acerola's Premonition
swsh9tg-TG24;Acerola's Premonition
sm7-123;Acro Bike
xy5-122;Acro Bike
sm7-178;Acro Bike
sm7-123a;Acro Bike
swsh10-181;Adaman
swsh10-199;Adaman
swsh10-135;Adaman
sm8-228;Adventure Bag
sm8-167;Adventure Bag
swsh11tg-TG23;Adventurer's Discovery
swsh8-224;Adventurer's Discovery
sm9-109;Aegislash
xy9-62;Aegislash
swsh5-107;Aegislash
sm6-49;Aegislash
swsh5-108;Aegislash
sm11-95;Aegislash
xy1-86;Aegislash
xy5-100;Aegislash
swsh2-135;Aegislash
xy1-85;Aegislash
swsh4-126;Aegislash V
swsh4-177;Aegislash V
swsh4-190;Aegislash VMAX
swsh4-127;Aegislash VMAX
xy4-65;Aegislash-EX
xy4-65a;Aegislash-EX
bw5-53;Aerodactyl
xy10-76;Aerodactyl
ex12-1;Aerodactyl
sm9-130;Aerodactyl
dp5-15;Aerodactyl
ecard3-1;Aerodactyl
neo3-15;Aerodactyl
base3-1;Aerodactyl
pl4-13;Aerodactyl
base3-16;Aerodactyl
pl2-55;Aerodactyl GL
xyp-XY99;Aerodactyl Spirit Link
swsh11-179;Aerodactyl V
swsh11-92;Aerodactyl V
swsh11-180;Aerodactyl V
swsh11-93;Aerodactyl VSTAR
swsh11-199;Aerodactyl VSTAR
ex2-94;Aerodactyl ex
ex13-35;Aerodactyl δ
